Municipio;Orgao;Item de Despesa;Valor Investido
ABADIA DOS DOURADOS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;46.919,36
ABADIA DOS DOURADOS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ABADIA DOS DOURADOS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ABAETE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DESPESAS DE EXERCICIOS ANTERIORES - OUTRAS DESPESAS;51.393,01
ABAETE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;744.387,30
ABAETE;FUNDO ESTADUAL DE CULTURA;CONTRIBUICOES;40.000,00
ABAETE;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;595
ABAETE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;274.122,00
ABAETE;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
ABAETE;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;8.842,20
ABAETE;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;MOBILIARIO;46.312,00
ABRE CAMPO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;72.601,68
ABRE CAMPO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
ABRE CAMPO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;188.105,92
ACAIACA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;198.035,86
ACAIACA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;462.152,59
ACAIACA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;61.789,03
ACAIACA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;260.422,75
ACAIACA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
ACUCENA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;221.524,58
ACUCENA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ACUCENA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;250.000,00
ACUCENA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;4.855,80
ACUCENA;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;111.226,71
